"id","japanese","english","const"
"55","確認ﾌﾛｰ","Validation flow",""
"56","業務","Business","PD_C_PROPWORDSYSDIV1"
"57","機能区分","Function category","PD_C_PROPWORDSYSDIV2"
"58","モジュール","Module","PD_C_PROPWORDSYSDIV3"
"59","ﾓｼﾞｭｰﾙ","Module",""
"60","作業フォルダのファイルが古いです。サーバの物と置き換えますか？","File in the working folder is outdated. Replace it with the one on the server?",""
"61","作業フォルダの編集日時 ","Edit time of working folder ",""
"62","(未編集)","(Unedited)",""
"63","サーバの編集日時 ","Edit time of server ",""
"64","原因：ファイルが見つかりません","Reason: The system cannot find the file specified.",""
"65","原因：ネットワーク名が見つかりません","Reason: The network name cannot be found.",""
"66","原因：これ以上このリモートコンピュータに接続できません","Reason: No more connections can be made to this remote computer at this time because there are already as many connections as the computer can accept.",""
"67","参照できません %1","Unable to reference %1",""
"68","サーバ","Server",""
"69","データベースオープンでログインに失敗しました","Login failed when open database",""
"70","データベースのオープンに失敗しました","Failed to open database",""
"71","データベースアクセスがタイムアウトしました","Database access timeout",""
"72","データベースアクセスでエラーが発生しました","Database access error occurred",""
"73","データベース更新がタイムアウトしました","Database update timeout",""
"74","データベース更新でエラーが発生しました","Database update error occurred",""
"75","登録元ファイルが存在しません","Register destination file not exists",""
"76","このファイル名は既に存在します","This file name already exists",""
"77","ファイルのコピーに失敗しました","Failed to copy file","PD_MSG_STD_ERR"
"78","ファイルコンテンツに変換できませんでした","Cannot convert to file contents",""
"79","このコンテンツは編集できません","The contents cannot be edited",""
"80","フォルダが存在しません %1","Folder not exists %1",""
"81","このコンテンツは参照できません","Unable to view the contents",""
"82","作業フォルダへのコピーに失敗しました","Failed to copy to the working folder",""
"83","承認作業中なので作業フォルダへのコピー／編集はできません","Unable to copy to or edit in working folder as in approval operation",""
"84","他のクライアント","Other clients",""
"85","クライアント '%1' ","Client '%1' ",""
"86","%1で編集中ですが、良いですか？","%1 is in editing, is it ok?",""
"87","(採番しない)","(Don't number)",""
"88","(一覧参照/更新...)","(List view/update...)",""
"89"," ∟"," |_",""
"90","構成管理ツールのオープンに失敗しました","Failed to open configuration management tools",""
"91","VSSのオープンに失敗しました","Failed to open VSS",""
"92","VSSのファイル情報の取得に失敗しました","Failed to acquire VSS file information",""
"93","チェックインに失敗しました","Failed to checkin",""
"94","%1 が差し戻されました","%1 has been sent back",""
"95","%1 が引き渡されました","%1 has been delivered",""
"96","%1 の確認が完了しました","Validation of %1 has finished",""
"97","－","-",""
"98","コンテンツ一覧","Contents list",""
"99","閉じる","Close",""
"100","参照","Browse",""
"101","%1名","%1 name",""
"102","コンテンツ名","Contents name",""
"103","状態","Status",""
"104","担当者","Person in charge",""
"105","着手日","Start date",""
"106","終了日","End date","PD_C_ITEMNAME_FINISH"
"107","履歴一覧","History",""
"108","削除","Delete",""
"109","置換","Replace",""
"110","出力","Export",""
"111","参照元フォルダが存在しません","Specified Folder not exists",""
"112","ファイル出力","Export file","PD_C_DLG_TITLE"
"113","出力しました","has exported",""
"114","フォルダ '%1' の出力先を選択して下さい","Please select the export destination for folder '%1'",""
"115","フォルダを作成できませんでした","Unable to create folder",""
"116","エラーが発生しました","Error occurred",""
"117","作業フォルダ上の%1ファイルが %2 時点のものに置き換わります。","Replace file %1 in the working folder with what it was at time %2.",""
"118","現在までの変更が全て失われますが、続けますか？","All the changes by now will be lost, continue anyway?",""
"119","サーバ上の%1ファイルが %2 時点のものに置き換わります。","Replace file %1 in the server with what it was at time %2.",""
"120","コンテンツ情報の取得に失敗しました","Failed to acquire contents information",""
"121","置換しました","Replaced",""
"122","削除して良いですか？","Are you sure to delete it?",""
"123","ﾌｧｲﾙ","File",""
"124","保存日時","Update time",""
"125","ｺﾒﾝﾄ","Comment",""
"126","%1元ファイルが存在しません","Source file %1 not exists",""
"127","%1に失敗しました","%1 failed",""
"128","コンテンツのプロパティ","Contents' property",""
"129","作業ﾌｫﾙﾀﾞにｺﾋﾟｰ","Copy to working folder",""
"130","作業ﾌｫﾙﾀﾞから破棄","Remove from working folder",""
"131","ﾌｧｲﾙ名変更","Rename file ",""
"132","サーバに移動","Move to server",""
"133","業務-機能区分：","Business-function category:",""
"134","備考：","Note:",""
"135","ﾓｼﾞｭｰﾙ：","Module:",""
"136","種別：","Type:",""
"137","ﾀｽｸ：","Task:",""
"138","場所：","Location:",""
"139","更新者：","Updated by:",""
"140","種類：","Category:",""
"141","ﾘﾋﾞｼﾞｮﾝ：","Revision:",""
"142","期間：","Period:",""
"143","～","-","PD_C_TERM_SPLIT"
"144","ﾌｫﾙﾀﾞ構成内容変更","Modify folder contents",""
"145","変更","Modify",""
"146","文書番号：","Document No.:",""
"147","ｺﾝﾃﾝﾂID：","Contents ID:",""
"148","代表ﾌｧｲﾙ：","Representation file:",""
"149","ｾｷｭﾘﾃｨ：","Security:",""
"150","ｵﾘｼﾞﾅﾙ名：","Original name:",""
"151","状態：","Status:",""
"152","編集日時：","Modified time:",""
"153","登録日時：","Registered time:",""
"154","ｽﾃｰｼﾞ","Stage",""
"155","済","Finished","PD_C_COMBO_QM_JUDGEND_OK_STR"
"156","名前","Name",""
"157","同期値","Synchronous value",""
"158","確認者：","Validator:",""
"159","実行中ステージ：","Executing stage:",""
"160","キャンセル","Cancel",""
"161","全般","All",""
"162","詳細","Detail",""
"163","確認状態","Validation status","PD_C_ITEMGID_CUSTOM_APP_STATE_STR"
"164","（なし）","(None)",""
"165","URLの先頭は http: または https: でなければなりません","URL must begin with http: or https:",""
"166","開始日が正しくありません","Start date is wrong",""
"167","終了日が正しくありません","End date is wrong",""
"168","終了日が開始日より前です","End date is earlier than start date",""
"169","作業フォルダにコピーして良いですか？","Are you sure to copy to working folder?",""
"170","作業フォルダからサーバに移動して良いですか？","Are you sure to move from working folder to server?",""
"171","サーバへのコピーに失敗しました","Failed to copy to server",""
"172","作業フォルダから破棄して良いですか？","Are you sure to remove from working folder?",""
"173","ファイルが見つかりません。","File not found.","PD_MSG_CONF_SVFILENOTFOUND"
"174","新しいファイルを設定しますか？","Do you want to set new file?","PD_MSG_CONF_NEWFILESET"
"175","フォルダが見つかりません。","Folder not found.","PD_MSG_CONF_SVFOLDERNOTFOUND"
"176","新しいフォルダを設定しますか？","Do you want to set new folder?","PD_MSG_CONF_NEWFOLDERSET"
"177","新ファイル名を入力して下さい","Please enter name of the new file",""
"178","ファイル名変更","Rename file",""
"179","拡張子が変更されていますが良いですか？","Are you sure to change the extension of the file?",""
"180"," → "," --> ",""
"181","同名のファイルが存在するので変更できません","Unable to change because file with the same name already exists",""
"182","変更に失敗しました","Failed to change",""
"183","新フォルダ名を入力して下さい","Please enter name for the new folder",""
"184","フォルダ名変更","Folder rename",""
"185","同名のフォルダが存在するので変更できません","Unable to change because folder with the same name already exists.",""
"186","フォルダが存在しません","Folder not exists",""
"187","：",":",""
"188","階層：","Level:",""
"189","(なし)","(None)",""
"190","%1 [ステージ%2]","%1 [stage %2]",""
"191","通常","Common","PD_C_COMBO_AS_NORMAL"
"192","他サーバから参照不可","Cannot reference from other servers",""
"193","有償コンテンツ","Charged contents",""
"194","ﾌｫﾙﾀﾞ名変更","Folder rename",""
"195","ネットワークコンピュータ上のファイルを指定してください。","Please specify the file on Network computer.","PD_MSG_ERR_NOTSERVERFILE"
"196","共有フォルダ配下のフォルダ以外は指定できません。","Cannot specify the folder other than the ones under a share folder.","PD_MSG_ERR_NOTSERVERFOLDER"
"197","代表ファイル選択","Select representation file",""
"198","指定する","Specify",""
"199","指定しない","Don't specify","PD_C_CUSTOMER_HOJIN_NOTHING_STR"
"200","履歴保存","Save history",""
"201","保存後にリビジョンを上げる","Revision up after saving",""
"202","コメント","Comment",""
"203","ファイル名","File name",""
"204","コメントが長すぎます","Comment is too long",""
"205","コメントに文字 ' は使用できません","Character ' cannot be used in comment",""
"206","フォルダコピーに失敗しました","Failed to copy folder",""
"207","元ファイルが見つかりません","Source file not found",""
"208","ファイルコピーに失敗しました","Failed to copy file",""
"209","参照ファイル選択","Browse file",""
"210","フォルダ内の全ファイルを参照用テンポラリにコピー","Copy all the files in the folder to a temporary location for view",""
"211","%1にアクセスできません","Unable to access %1",""
"212","進捗/品質データ履歴","Progress/quality data history",""
"213","履歴削除...","Delete history...",""
"214","日付別表示へ","Display by date",""
"215","プロジェクト：","Project:",""
"216","機能構成別表示へ","Display by function structure",""
"217","更新日時","Update time",""
"218","更新者","Updated by","PD_C_UPDMEM"
"219","機能構成別表示","Display by function structure",""
"220","日付別表示","Display by date",""
"221","履歴削除","Delete history",""
"222","種類","Category",""
"223","日付","Date","PD_C_HEADER_HIDUKE"
"224","以前のデータ","Prior data",""
"225","削除するデータを指定してください。","Please specify the data to delete.",""
"226","(全て)","(All)",""
"227","日付を入力してください","Please enter date",""
"228","削除してよろしいですか？","Are you sure to delete it?",""
"229","削除しました","Deleted",""
"230","インポート","Import",""
"231","ｲﾝﾎﾟｰﾄ対象","Import target",""
"232","参照ﾌｧｲﾙ","Browse file",""
"233","参照...","Browse...",""
"234","ｷｬﾝｾﾙ","Cancel",""
"235","プロジェクト名","Project name          ","PD_C_CEL_TEXT_PRJNAME"
"236","ｲﾝﾎﾟｰﾄ中：999999/999999","In importing: 999999/999999",""
"237","以下のXXXをインポートします。","Import the following xxx.",""
"238","プロジェクト名：","Project name:",""
"239","以下の%1をインポートします｡","Import the following %1.",""
"240","読込","Read",""
"241","CSVファイル","CSV file",""
"242","すべてのファイル","All files",""
"243","ファイル名を指定してください","Please specify file name",""
"244","対象","Target",""
"245","不正なデータが存在します。","Illegal data exists",""
"246","詳細についてはImportErr.txtを参照して下さい。","Please reference ImportErr.txt for detail information.",""
"247","不正なデータが存在しますが","Since illegal data exists,",""
"248","ImportErr.txtの書き込みに失敗しました。","failed to write ImportErr.txt.",""
"249","ｲﾝﾎﾟｰﾄ中：%1/%2件","In importing: %1/%2 Items",""
"250","新規","New",""
"251","%1 その他%2名","%1 other %2 member(s)",""
"252","継続","Continue","PD_C_COMBO_AS_RUN_STR"
"253","完了","Finished","PD_C_COMBO_AS_END"
"254","%1は空のファイルです。","%1 is an empty file.","PD_MSG_NOT_FILENOTNULL"
"255","""プロジェクト名""は必須入力項目なので省略できません。","""Project name"" is required and cannot be omitted.",""
"256","<%1>該当するプロジェクトは存在しません。","<%1>Matched project not exists.","PD_MSG_NOT_PRJNOTEXIST"
"257","、","","",""
"258","■","[*]",""
"259","顧客","Customer","PD_C_COST_CUSTOMER_STR"
"260","当方","Our party","PD_C_COST_THIS_STR"
"261","依頼者","Requestor","PD_C_ANSWER_REQ_STR"
"262","CSV形式ではありません。","Not CSV format.","PD_MSG_NOT_CSVDATA"
"263","該当する要員は存在しません。","Matched member not exists.","PD_MSG_NOT_MEMNOTEXIST"
"264","該当する組織は存在しません。","Matched organization not exists.","PD_MSG_NOT_SECNOTEXIST"
"265","タイトル行が空です","Title row is null",""
"266","項目 ""%1"" が複数の列に存在します。","Item ""%1"" exists in multiple columns.",""
"267","項目 ""%1"" はインポート先に存在しません。","Item ""%1"" not exists in import target.",""
"268","発生","Occur",""
"269","回答","Reply",""
"270","ファイル名を入力して下さい。","Please enter file name.",""
"271","必須項目 ""%1"" がインポートファイルに存在しません。","Required item ""%1"" not exists in the Import file.",""
"272","必須入力項目なので省略できません。"," is required item, cannot be omitted.","PD_MSG_NOT_NOTNULL"
"273","文字の長さが最大(%1バイト)を超えています","Length of the text exceeds the maximum value (%1 bytes)",""
"274","数値が正しくありません","Number is wrong.",""
"275","日付が正しくありません","Date is wrong.",""
"276","金額が正しくありません","Amount is wrong.",""
"277","規模が正しくありません","Scale is wrong.",""
"278","日時が正しくありません","Time is wrong.",""
"279","期間が正しくありません","Period is wrong.",""
"280","%1は必須項目です。1つ以上の選択肢を■にしてください。","%1 is required item. Please select one or more options with [*].",""
"281","%1の内容が誤っています。","Contents of %1 are mistaken.",""
"282","該当する%1/%2は存在しません。","Matched %1/%2 not exists.",""
"283","該当する%1は存在しません。","Matched %1 not exists.",""
"284","’"," '",""
"285","無名","Nameless",""
"286","元フォルダが存在しません","Source folder not exists",""
"287","変更先に成果物格納フォルダが設定されているため、%r%nサーバファイル/サーバフォルダの格納場所を変更します。","Since the product storing folder is set as the change location, %r%nthe storing location of  server file/server folder is changed.",""
"288","変更して良いですか？","Are you sure to change?",""
"289","（いいえを選択すると、格納場所を変更しません）","(Don't change storing location if selected no)",""
"290","ファイル名が長すぎるため変更できません","Cannot change since file name is too long",""
"291","変更先に成果物格納フォルダが設定されているため、%r%n実ファイル/フォルダの格納場所を変更します。","Since the product storing folder is set as the change location, %r%nthe storing location of file/folder is changed.",""
"292","格納先フォルダが存在しません。作成しますか？","Storing folder not exists, create it now?",""
"293","フォルダが作成できません","Unable to create folder",""
"294","フォルダ名に次の文字は使えません","The following characters cannot be used for folder name.",""
"295","%1を入力してください","Please enter %1",""
"296","%1には\\で始まる共有フォルダ名を指定してください。","Please specify the share folder name beginning with \\ in %1.",""
"297","%1は最後の\を合わせて%2バイトまでです","%1 including the last \ must be within %2 bytes.",""
"298","%1は%2バイトまでです","%1 is within %2 bytes.",""
"299","%1は最後の/を合わせて%2バイトまでです","%1 including the last / must be within %2 bytes.",""
"300","CVSのオープンに失敗しました","Failed to open CVS",""
"301","登録元ファイル名が指定されていません","Register destination file name not specified.",""
"302","ファイルコンテンツまたはフォルダコンテンツがCVSに登録できます","File contents or folder contents can be registered in CVS",""
"303","その他のコンテンツはCVS連携機能は使用できません","Other contents cannot use CVS related functions",""
"304","チェックアウト先にフォルダが存在しません","Folder not exists in the checkout destination",""
"305","チェックアウトを取り消して、再度チェックアウトしますか？","Are you sure to cancel checkout, then try it again?",""
"306","他の人がチェックアウトしています","Checked out by others.",""
"307","編集できません","Unable to edit",""
"308","他のクライアントで編集中です","In editing by other clients.",""
"309","編集しますか？","Are you sure to edit it?",""
"310","チェックアウトできませんでした","Unable to checkout.",""
"311","チェックアウト先にファイルが存在しません","File not exists in the checkout destination",""
"312","ファイル%r%n　%1%r%nの参照に失敗しました","Failed to view file %r%n %1%r%n",""
"313","ファイルが選択されませんでした","File not be selected",""
"314","ファイル%r%n %1%r%nの参照に失敗しました","Failed to reference file %r%n %1%r%n",""
"315","ファイル %1を削除できませんでした","Unable to delete file %1",""
"316","チェックアウトされていません","Without checked out",""
"317","ファイルを取得できませんでした","Unable to acquire file",""
"318","CVSのファイル情報の取得に失敗しました","Failed to acquire CVS file information",""
"319","クライアントにファイルがあります。サーバにコピーしますか？","File exists on client. Are you sure to copy it to the sever?",""
"320","レコードの更新に失敗しました","Failed to update records.",""
"321","コピーに失敗しました","Copy failed",""
"322","ファイル名を変更すると履歴情報が破棄されますがよろしいですか？","If file name is changed the history information will be removed. Continue anyway?",""
"323","警告！","Warning!",""
"324","＿","_",""
"325","CVSログオン","CVS Login",""
"326","ログオン","Log on",""
"327","パスワード","Password",""
"328","ユーザー名","User Name",""
"329","リポジトリ","Repository",""
"330","ﾊﾞｰｼﾞｮﾝ情報","About",""
"331","ｼｽﾃﾑ情報(&S)...","&System information...",""
"332","プロセスカスタマイズツール","Process customize tool",""
"333","ﾊﾞｰｼﾞｮﾝ ","Version ",""
"334","現時点ではｼｽﾃﾑ情報を使用できません","At present, system information cannot be used.",""
"335","作業領域","Workspace",""
"336","アクティビティ追加","Add activity",""
"337","","",""
"338","追加","Add",""
"339","リセット","Reset",""
"340","カテゴリ","Category",""
"341","フェーズ","Phase",""
"342","アクティビティの追加","Add activity",""
"343","アクティビティコード","Activity code",""
"344","アクティビティ名","Activity name",""
"345","説明","Explanation",""
"346","%1コード","%1 code",""
"347","自動","Auto",""
"348","共通","Common",""
"349","%1追加","Add %1",""
"350","%1の追加","Addition of %1",""
"351","%1情報変更","Change %1 information",""
"352","%1情報の変更","Change of %1 information",""
"353","更新","Update","PD_C_S_OKBTN_UPD"
"354","%1名を入力してください。","Please enter %1 name",""
"355","%1名が60バイトを越えています。","%1 name exceeds 60 bytes.",""
"356","説明が255バイトを越えています。","Explanation exceeds 255 bytes.",""
"357","カテゴリ追加","Add category",""
"358","カテゴリの追加","Add category",""
"359","カテゴリコード","Category code",""
"360","カテゴリ名","Category name",""
"361","カテゴリ情報変更","Change category information",""
"362","カテゴリ情報の変更","Category information change",""
"363","カテゴリコードを入力してください。","Please enter category name.",""
"364","カテゴリコードが不正です。 '%1' は使用できません。","Illegal category code. '%1' is invalid.",""
"365","カテゴリコード%1 は登録されています。","Category code %1 has been registered.",""
"366","カテゴリ名を入力してください。","Please enter category name.",""
"367","カテゴリ名が60バイトを越えています。","Category name exceeds 60 bytes.",""
"368","フェーズ追加","Add phase",""
"369","フェーズの追加","Add phase",""
"370","フェーズコード","Phase code",""
"371","フェーズ名","Phase name",""
"372","フェーズ情報変更","Change hase information",""
"373","フェーズ情報の変更","Change of phase information",""
"374","フェーズコードを入力してください。","Please enter phase code.",""
"375","フェーズコードが不正です。""0"" は使用できません。","Illegal phase code. ""0"" is invalid.",""
"376","フェーズコードが不正です。%1は使用できません。","Illegal phase code. %1 is invalid.",""
"377","フェーズコード%1 は登録されています。","Phase code %1 has been registered.",""
"378","フェーズ名を入力してください。","Please enter phase name.",""
"379","フェーズ名が60バイトを越えています。","Phase name exceeds 60 bytes.",""
"380","タスクの新規追加","New task",""
"381","プロジェクト完了報告書画面を呼び出す","Project completion report page is called.",""
"382","プロジェクト計画書画面を呼び出す","Project plan page is called.",""
"383","割当てなし","Without assignment",""
"384","使用する","Use",""
"385","機能割当て","Functional assignment",""
"386","ツール","Tool",""
"387","標準工数","Standard man-hour",""
"388","要因数単位","Factor unit",""
"389","成果物","Product",""
"390","タスクの説明","Task explanation ",""
"391","タスク名","Task name","PD_C_ITEMNAME_NAME"
"392","タスクコード","Task code",""
"393","%1の説明"," %1 explanation",""
"394","%1の新規追加","New %1",""
"395","%1の変更","Modify  %1",""
"396","%1を入力してください。","Please enter %1.",""
"397","%1は４桁以上で入力してください。","Please enter 4 or more figures in %1.",""
"398","%1が不正です。上３文字が%2コードと異なります。","%1 is illegal. The first three characters are different from %2 code.",""
"399","%1が不正です。""%2"" は使用できません。","%1 is illegal. ""%2"" is invalid.",""
"400","%1が不正です。指定された%2はすでに存在しています。","%1 is illegal. Specified %2 already exists.",""
"401","%1が60バイトを越えています。","%1 exceeds 60 bytes.",""
"402","%1が255バイトを越えています。","%1 exceeds 255 bytes.",""
"403","成果物を入力してください。","Please enter Product.",""
"404","成果物が200バイトを越えています。","Product exceeds 200bytes.",""
"405","要因数単位を入力してください。","Please enter factor unit.",""
"406","要因数単位が20バイトを越えています。","Factor unit exceeds 20 bytes.",""
"407","標準工数を入力してください。","Please enter standard man-hour.",""
"408","標準工数には数値を入力してください。","Please enter number in standard man-hour.",""
"409","標準工数には正の数値を入力してください。","Please enter positive number in standard man-hour.",""
"410","ツールが255バイトを越えています。","Tool exceeds 255 bytes.",""
"411","プロセス選択","Select process",""
"412","ディスク使用","Use disk",""
"413","開く","Open",""
"414","項目","Item",""
"415","値","Value",""
"416","名称","Name",""
"417","ＩＤ","ID",""
"418","全社標準","Company standard",""
"419","組織標準","Organization standard",""
"420","プロジェクト","Project",""
"421","編集しようとした「%1」は編集中です","%1 that is taken to edit is in editing.",""
"422","ディスクからプロセスを開く","Open process from disk",""
"423","テキスト ファイル","Text file",""
"424","プロセスコード %1 は編集中です","Process code %1 is in editing.",""
"425","なし","None","PD_C_MOD_NONSELECT"
"426","不明","Unclear",""
"427","カテゴリ数","Category number",""
"428","フェーズ数","Phase number",""
"429","%1数","%1 number",""
"430","流用","Divert",""
"431","可","Enabled","PD_C_EMAIL_OK_STR"
"432","不可","Not enabled","PD_C_EMAIL_NG_STR"
"433","流用プロセス","Process diverted",""
"434","元プロセス","Source process",""
"435","進捗管理対象","Progress management target",""
"436","はい","Yes",""
"437","いいえ","No",""
"438","登録者","Registrant",""
"439","登録日時","Registered time",""
"440","適用プロジェクト","Applied project",""
"441","編集中","In editing",""
"442","編集者","Editor",""
"443","編集開始日時","Edit start time",""
"444","最終更新日時","Last update time",""
"445","カーソルをここに持って来るためのダミーです","Dummy for cursor being moved here",""
"446","プロセス(&P)","&Process",""
"447","新規(&N)...","&New...",""
"448","開く(&O)...","&Open...",""
"449","上書き保存(&S)","&Save ",""
"450","名前を付けて保存(&A)...","Save &As...",""
"451","終了(&X)...","E&Xit...",""
"452","操作(&M)","&Manipulate",""
"453","反転(&R)","&Reverse",""
"454","画面","Page",""
"455","画面１","Page1",""
"456","画面２","Page2",""
"457","削除アイテムを表示","Display deleted items",""
"458","表示","Show",""
"459","非表示","Hide",""
"460","切換(&C)","&Conversion",""
"461","アクティビティ定義(&A)","&Activity definition",""
"462","タスク定義(&T)","&Task definition",""
"463","オプション(&O)","&Option ",""
"464","サーバ設定(&S)...","&Server settings ...",""
"465","利用者設定(&M)...","&Member settings ...",""
"466","作業場所(&W)...","&Workspace...",""
"467","ヘルプ(&H)","&Help",""
"468","バージョン情報(&A)...","&About...",""
"469","アクティビティメニュー","Activity menu",""
"470","元に戻す","Restore",""
"471","位置","Position",""
"472","前面","Front",""
"473","背面","Back",""
"474","表示（画面１へ）","Show(To Page 1)",""
"475","非表示（画面２へ）","Hide (To Page 2)",""
"476","アクティビティ以外メニュー","Menus except activity",""
"477","タスクメニュー","Task menu",""
"478","編集中のプロセスを破棄してもいいですか？","Are you sure to cancel the current editing process?",""
"479","終了","End",""
"480","%1定義(&A)","%1 definition (&A)",""
"481","%1定義(&T)","%1 definition (&T)",""
"482","作業場所を設定してください","Please set the working folder",""
"483","保存は行われませんでした","Not saved",""
"484","保存しました","Saved","PD_MSG_INFO_SAVE"
"485","上書き保存","Save",""
"486","この操作を行うと現在編集中のプロセスを破棄しますがよろしいですか？","If this operation is performed, the editing process will be canceled. Continue anyway?",""
"487","プロセス登録","Register process",""
"488","クリア","Clear",""
"489","登録","Register","PD_C_S_OKBTN_NEW"
"490","流用不可","Cannot be diverted",""
"491","流用可能","Be able to divert",""
"492","備考","Note","PD_C_S_NOTE"
"493","登録レイヤ","Register layer",""
"494","プロセス名","Process name",""
"495","プロセスコード","Process code",""
"496","プロセスを登録します","Register process",""
"497","プロセスコードを入力してください。","Please enter process code.",""
"498","プロセスコードが不正です。""%1"" は使用できません。","Illegal process code. ""%1"" is invalid",""
"499","プロセスコード %1 はすでに登録されています。","Process code %1 has been registered.",""
"500","プロセス名を入力してください。","Please enter process name.",""
"501","プロセス名が100バイトを越えています。","Process name exceeds 100 bytes.",""
"502","備考が255バイトを越えています。","Note exceeds 256 bytes.",""
"503","名前を付けて保存","Save as",""
"504","保存先","Storing folder",""
"505","サーバー","Sever",""
"506","ディスク","Disk",""
"507","保存","Save",""
"508","プロセスを保存します","Save process",""
"509","プロセスの保存","Process saving",""
"510","保存先が指定されていません","Storing folder not specified",""
"511","(進捗/品質管理情報も保存しました)","(Progresses/quality management information also saved)",""
"512","プロセスコード %1 はすでに登録されています。編集中ではないプロセスを登録することはできません","Process code %1 has been registered. Only Process in editing can be registered.",""
"513","プロセスコード %1 を上書きしますか？","Are you sure to overwrite process code %1?",""
"514","プロセスコード %1 は編集中です。","Process code %1 is in editing.",""
"515","作業場所","Workspace",""
"516","ドライブ","Drive",""
"517","プロセスカスタマイズ","Process customize","PD_C_AP_TITLE"
"518","設定された社員番号 %1 は存在しないか、利用権がありません","Specified login ID not exists or has no authority to use",""
"519","%1 は本ツールで使用できるファイルではありません","%1 is not a file that can be used by this tool.",""
"520","プロセスは編集中です","Process is in editing",""
"521","サーバのＩＰアドレスを設定してください","Please set IP address for server",""
"522","サーバ設定","Server settings",""
"523","不正なＩＰアドレスです","Illegal IP address",""
"524","利用者の社員番号を設定してください","Please set login ID for User",""
"525","サーバ：","Server:",""
"526","利用者設定","User settings",""
"527","新規追加","Add",""
"528","%1を登録する%2を選択してください","Please select %2 that registers %1.",""
"529","選択されたすべての%1","All the selected %1",""
"530","%1を削除してよろしいですか？","Are you sure to delete %1?",""
"531","印刷中...","In printing...",""
"532","出力先 %s ( %s )","Export destination  %s ( %s )",""
"533","%d ﾍﾟｰｼﾞ目を印刷中","In printing page %d",""
"534","ﾍﾟｰｼﾞ全体(&P)|ﾍﾟｰｼﾞ幅(&W)|2ﾍﾟｰｼﾞ(&T)|ｻﾑﾈｲﾙ(&N)","All &Pages|Page &Width |&Two page (&T)|Thumb&Nail",""
"535","進捗率","Progress rate","PD_C_CEL_TEXT_PRG"
"536","%1年","%1 year",""
"537","||予定：網線","||Schedule: Graticule",""
"538","進捗率：実線","Progress rate: Solid line",""
"539","実績：斜線","Result: Slash",""
"540","|%d ページ|ProcessDirector ガントチャート","|Page %d|ProcessDirector Gantt Chart",""
"541","プロジェクトファイルの解析に失敗しました。","Filed to parse the project file.",""
"542","再度、登録し直してください。","Please register again.",""
"543","リポジトリ情報ファイルの内容が正しく登録されていません。","The contents of repository information file not registered correctly.",""
"544","リポジトリ情報ファイルが作成されていません。","Repository information file not created.",""
"545","フォルダ""%1""を作成できません。","Unable to create folder ""%1""",""
"546","「","[",""
"547","」","]",""
"548","環境変数にテンポラリフォルダが正しく設定されているか確認してください。","Please confirm if temporary folder set correctly in environment variable.",""
"549","リポジトリ情報ファイル""%1""を読み込めません。","Unable to read repository information file ""%1"".",""
